8862404.239	2926532.021	4403.985
8862430.906	2926532.021	4415.624
8862457.572	2926532.021	4428.324
8862484.238	2926532.021	4438.346
8862510.905	2926532.021	4444.398
8862537.571	2926532.021	4447.389
8862564.238	2926532.021	4450.803
8862590.904	2926532.021	4456.226
8862617.57	2926532.021	4464.566
8862644.237	2926532.021	4475.194
8862670.903	2926532.021	4486.599
8862697.57	2926532.021	4500.19
8862724.236	2926532.021	4512.259
8862750.902	2926532.021	4522.275
8862777.569	2926532.021	4530.118
8862804.235	2926532.021	4534.899
8862830.901	2926532.021	4537.988
8862857.568	2926532.021	4537.223
8862884.234	2926532.021	4535.158
8862910.901	2926532.021	4534
8862937.567	2926532.021	4536.028
8862964.233	2926532.021	4542.281
8862990.9	2926532.021	4551.875
8863017.566	2926532.021	4562.687
8863044.233	2926532.021	4571.526
8863070.899	2926532.021	4575.962
8863097.565	2926532.021	4575.1
8863124.232	2926532.021	4573.898
8863150.898	2926532.021	4573.65
8863177.564	2926532.021	4574.714
8863204.231	2926532.021	4579.263
8863230.897	2926532.021	4583.1
8863257.564	2926532.021	4587.521
8863284.23	2926532.021	4596.6
8863310.896	2926532.021	4607.677
8863337.563	2926532.021	4620.342
8863364.229	2926532.021	4632.178
8863390.895	2926532.021	4640.103
8863417.562	2926532.021	4641.547
8863444.228	2926532.021	4642.592
8862404.239	2926562.585	4394.744
8862430.906	2926562.585	4406.685
8862457.572	2926562.585	4418.428
8862484.238	2926562.585	4426.976
8862510.905	2926562.585	4432.873
8862537.571	2926562.585	4436.191
8862564.238	2926562.585	4441.453
8862590.904	2926562.585	4447.844
8862617.57	2926562.585	4456.935
8862644.237	2926562.585	4467.945
8862670.903	2926562.585	4479.254
8862697.57	2926562.585	4491.36
8862724.236	2926562.585	4502.339
8862750.902	2926562.585	4511.389
8862777.569	2926562.585	4518.25
8862804.235	2926562.585	4521.422
8862830.901	2926562.585	4523.865
8862857.568	2926562.585	4523.599
8862884.234	2926562.585	4522.218
8862910.901	2926562.585	4521.828
8862937.567	2926562.585	4524.917
8862964.233	2926562.585	4533.938
8862990.9	2926562.585	4543.646
8863017.566	2926562.585	4551.765
8863044.233	2926562.585	4558.385
8863070.899	2926562.585	4562.694
8863097.565	2926562.585	4563.616
8863124.232	2926562.585	4563.426
8863150.898	2926562.585	4562.959
8863177.564	2926562.585	4564.156
8863204.231	2926562.585	4569.176
8863230.897	2926562.585	4575.429
8863257.564	2926562.585	4585.274
8863284.23	2926562.585	4598.571
8863310.896	2926562.585	4612.261
8863337.563	2926562.585	4626.264
8863364.229	2926562.585	4637.952
8863390.895	2926562.585	4644.958
8863417.562	2926562.585	4645.115
8863444.228	2926562.585	4644.469
8862404.239	2926593.148	4390.827
8862430.906	2926593.148	4401.431
8862457.572	2926593.148	4410.641
8862484.238	2926593.148	4416.869
8862510.905	2926593.148	4421.898
8862537.571	2926593.148	4426.678
8862564.238	2926593.148	4433.771
8862590.904	2926593.148	4441.236
8862617.57	2926593.148	4450.507
8862644.237	2926593.148	4461.694
8862670.903	2926593.148	4472.517
8862697.57	2926593.148	4482.627
8862724.236	2926593.148	4492.286
8862750.902	2926593.148	4500.467
8862777.569	2926593.148	4506.71
8862804.235	2926593.148	4510.304
8862830.901	2926593.148	4511.784
8862857.568	2926593.148	4511.997
8862884.234	2926593.148	4511.361
8862910.901	2926593.148	4511.529
8862937.567	2926593.148	4515.151
8862964.233	2926593.148	4524.916
8862990.9	2926593.148	4533.909
8863017.566	2926593.148	4540.661
8863044.233	2926593.148	4545.896
8863070.899	2926593.148	4550.097
8863097.565	2926593.148	4551.854
8863124.232	2926593.148	4552.141
8863150.898	2926593.148	4552.203
8863177.564	2926593.148	4555.587
8863204.231	2926593.148	4564.322
8863230.897	2926593.148	4576.043
8863257.564	2926593.148	4590.26
8863284.23	2926593.148	4604.646
8863310.896	2926593.148	4618.6
8863337.563	2926593.148	4632.089
8863364.229	2926593.148	4643.403
8863390.895	2926593.148	4650.231
8863417.562	2926593.148	4649.896
8863444.228	2926593.148	4647.209
8862404.239	2926623.711	4390.758
8862430.906	2926623.711	4397.467
8862457.572	2926623.711	4404.509
8862484.238	2926623.711	4409.794
8862510.905	2926623.711	4414.203
8862537.571	2926623.711	4419.418
8862564.238	2926623.711	4427.317
8862590.904	2926623.711	4436.361
8862617.57	2926623.711	4446.17
8862644.237	2926623.711	4457.17
8862670.903	2926623.711	4467.08
8862697.57	2926623.711	4475.575
8862724.236	2926623.711	4483.221
8862750.902	2926623.711	4490.064
8862777.569	2926623.711	4495.617
8862804.235	2926623.711	4499.867
8862830.901	2926623.711	4501.606
8862857.568	2926623.711	4502.201
8862884.234	2926623.711	4502.919
8862910.901	2926623.711	4504.819
8862937.567	2926623.711	4509.533
8862964.233	2926623.711	4516.935
8862990.9	2926623.711	4524.126
8863017.566	2926623.711	4530.079
8863044.233	2926623.711	4535.063
8863070.899	2926623.711	4539.046
8863097.565	2926623.711	4539.094
8863124.232	2926623.711	4540.976
8863150.898	2926623.711	4544.838
8863177.564	2926623.711	4551.824
8863204.231	2926623.711	4564.345
8863230.897	2926623.711	4579.565
8863257.564	2926623.711	4595.407
8863284.23	2926623.711	4609.373
8863310.896	2926623.711	4621.758
8863337.563	2926623.711	4633.918
8863364.229	2926623.711	4644.566
8863390.895	2926623.711	4651.426
8863417.562	2926623.711	4651.825
8863444.228	2926623.711	4648.656
8862404.239	2926654.274	4388.207
8862430.906	2926654.274	4393.225
8862457.572	2926654.274	4399.58
8862484.238	2926654.274	4404.774
8862510.905	2926654.274	4409.165
8862537.571	2926654.274	4414.91
8862564.238	2926654.274	4424.311
8862590.904	2926654.274	4434.823
8862617.57	2926654.274	4444.781
8862644.237	2926654.274	4454.558
8862670.903	2926654.274	4463.253
8862697.57	2926654.274	4470.117
8862724.236	2926654.274	4475.547
8862750.902	2926654.274	4480.437
8862777.569	2926654.274	4485.378
8862804.235	2926654.274	4489.81
8862830.901	2926654.274	4492.884
8862857.568	2926654.274	4495.007
8862884.234	2926654.274	4497.695
8862910.901	2926654.274	4500.829
8862937.567	2926654.274	4505.86
8862964.233	2926654.274	4511.172
8862990.9	2926654.274	4516.744
8863017.566	2926654.274	4521.924
8863044.233	2926654.274	4524.174
8863070.899	2926654.274	4526.679
8863097.565	2926654.274	4529.466
8863124.232	2926654.274	4535.605
8863150.898	2926654.274	4544.699
8863177.564	2926654.274	4555.345
8863204.231	2926654.274	4568.079
8863230.897	2926654.274	4583.686
8863257.564	2926654.274	4599.414
8863284.23	2926654.274	4612.567
8863310.896	2926654.274	4623.379
8863337.563	2926654.274	4633.948
8863364.229	2926654.274	4643.563
8863390.895	2926654.274	4649.164
8863417.562	2926654.274	4649.642
8863444.228	2926654.274	4647.469
8862404.239	2926684.837	4383.666
8862430.906	2926684.837	4389.138
8862457.572	2926684.837	4394.849
8862484.238	2926684.837	4399.449
8862510.905	2926684.837	4405.279
8862537.571	2926684.837	4413.828
8862564.238	2926684.837	4425.193
8862590.904	2926684.837	4435.767
8862617.57	2926684.837	4443.245
8862644.237	2926684.837	4450.75
8862670.903	2926684.837	4458.102
8862697.57	2926684.837	4464.166
8862724.236	2926684.837	4468.181
8862750.902	2926684.837	4472.487
8862777.569	2926684.837	4477.012
8862804.235	2926684.837	4481.748
8862830.901	2926684.837	4485.497
8862857.568	2926684.837	4489.294
8862884.234	2926684.837	4492.826
8862910.901	2926684.837	4496.196
8862937.567	2926684.837	4501.762
8862964.233	2926684.837	4507.063
8862990.9	2926684.837	4511.111
8863017.566	2926684.837	4512.719
8863044.233	2926684.837	4513.226
8863070.899	2926684.837	4518.399
8863097.565	2926684.837	4527.353
8863124.232	2926684.837	4537.367
8863150.898	2926684.837	4549.835
8863177.564	2926684.837	4563.188
8863204.231	2926684.837	4575.434
8863230.897	2926684.837	4588.745
8863257.564	2926684.837	4603.656
8863284.23	2926684.837	4615.711
8863310.896	2926684.837	4624.744
8863337.563	2926684.837	4633.375
8863364.229	2926684.837	4641.365
8863390.895	2926684.837	4645.405
8863417.562	2926684.837	4646.002
8863444.228	2926684.837	4644.792
8862404.239	2926715.401	4379.311
8862430.906	2926715.401	4383.806
8862457.572	2926715.401	4388.755
