2896
0	-2.1E-4
0.01	-2.5E-4
0.02	-3E-4
0.03	-3.3E-4
0.04	-3.5E-4
0.05	-3.3E-4
0.06	-2.8E-4
0.07	-2.2E-4
0.08	-1.7E-4
0.09	-1.6E-4
0.1	-1.9E-4
0.11	-2.3E-4
0.12	-2.8E-4
0.13	-3.1E-4
0.14	-3.2E-4
0.15	-3E-4
0.16	-2.5E-4
0.17	-1.8E-4
0.18	-1.3E-4
0.19	-1.2E-4
0.2	-1.5E-4
0.21	-2E-4
0.22	-2.5E-4
0.23	-2.7E-4
0.24	-2.8E-4
0.25	-2.6E-4
0.26	-2.1E-4
0.27	-1.4E-4
0.28	-9E-5
0.29	-8E-5
0.3	-1E-4
0.31	-1.4E-4
0.32	-1.8E-4
0.33	-2.1E-4
0.34	-2.1E-4
0.35	-1.8E-4
0.36	-1.4E-4
0.37	-1.1E-4
0.38	-1.1E-4
0.39	-1.7E-4
0.4	-2.7E-4
0.41	-3.7E-4
0.42	-4.3E-4
0.43	-4.4E-4
0.44	-4.3E-4
0.45	-3.8E-4
0.46	-3E-4
0.47	-2.1E-4
0.48	-1.4E-4
0.49	-1E-4
0.5	-1E-4
0.51	-1.1E-4
0.52	-1.3E-4
0.53	-1.3E-4
0.54	-1E-4
0.55	-6E-5
0.56	-1E-5
0.57	3E-5
0.58	3E-5
0.59	0
0.6	-7E-5
0.61	-1.3E-4
0.62	-1.7E-4
0.63	-1.7E-4
0.64	-1.4E-4
0.65	-1E-4
0.66	-7E-5
0.67	-8E-5
0.68	-1.7E-4
0.69	-2.9E-4
0.7	-4.1E-4
0.71	-4.9E-4
0.72	-5E-4
0.73	-4.6E-4
0.74	-3.6E-4
0.75	-2.2E-4
0.76	-4E-5
0.77	1.1E-4
0.78	2.1E-4
0.79	2.3E-4
0.8	2.1E-4
0.81	1.7E-4
0.82	1.3E-4
0.83	7E-5
0.84	-2E-5
0.85	-1.2E-4
0.86	-1.8E-4
0.87	-1.8E-4
0.88	-1.4E-4
0.89	-1.1E-4
0.9	-1.2E-4
0.91	-1.6E-4
0.92	-2.1E-4
0.93	-2.4E-4
0.94	-2.5E-4
0.95	-2.1E-4
0.96	-1.3E-4
0.97	-1E-5
0.98	1.3E-4
0.99	2.8E-4
1	3.7E-4
1.01	4E-4
1.02	3.5E-4
1.03	2.5E-4
1.04	1.7E-4
1.05	1.2E-4
1.06	6E-5
1.07	1E-5
1.08	2E-5
1.09	1.4E-4
1.1	4E-4
1.11	7.5E-4
1.12	0.00112
1.13	0.00145
1.14	0.00173
1.15	0.00196
1.16	0.0021
1.17	0.0021
1.18	0.00191
1.19	0.00156
1.2	0.00113
1.21	7.2E-4
1.22	4E-4
1.23	1.7E-4
1.24	0
1.25	-1.2E-4
1.26	-2.1E-4
1.27	-2.8E-4
1.28	-4E-4
1.29	-5.7E-4
1.3	-7.5E-4
1.31	-8.7E-4
1.32	-8.3E-4
1.33	-6.7E-4
1.34	-4.4E-4
1.35	-1.6E-4
1.36	1.8E-4
1.37	6E-4
1.38	0.00104
1.39	0.0014
1.4	0.00157
1.41	0.0015
1.42	0.00126
1.43	0.00101
1.44	9.1E-4
1.45	1E-3
1.46	0.00124
1.47	0.00149
1.48	0.00162
1.49	0.00157
1.5	0.00134
1.51	9.8E-4
1.52	5.7E-4
