22
0.000000 	0.000000 
0.000117 	5822924.253460 
0.000292 	13872541.879097 
0.000439 	21237709.395484 
0.000644 	28086034.231610 
0.000820 	34592771.303715 
0.000923 	39902676.620539 
0.000996 	41613801.893664 
0.001190 	39548343.044428 
0.001341 	34570466.132556 
0.001580 	29931627.822287 
0.001850 	25634377.276038 
0.002476 	19778951.201748 
0.002909 	15646121.631464 
0.003400 	13396485.797524 
0.004130 	10965222.141296 
0.004711 	8883193.736344 
0.005247 	6974508.375819 
0.005872 	4547705.753824 
0.006676 	2456117.989803 
0.007360 	883922.068463 
0.008000 	0.000000 
