2896
0	2.4E-4
0.01	1.2E-4
0.02	2E-5
0.03	-3E-5
0.04	-1E-5
0.05	7E-5
0.06	1.9E-4
0.07	3E-4
0.08	3.6E-4
0.09	3.6E-4
0.1	2.9E-4
0.11	1.7E-4
0.12	7E-5
0.13	2E-5
0.14	2E-5
0.15	8E-5
0.16	1.7E-4
0.17	2.5E-4
0.18	2.8E-4
0.19	2.4E-4
0.2	1.2E-4
0.21	-3E-5
0.22	-1.6E-4
0.23	-2E-4
0.24	-1.6E-4
0.25	-4E-5
0.26	1.1E-4
0.27	2.5E-4
0.28	3.2E-4
0.29	3E-4
0.3	1.9E-4
0.31	3E-5
0.32	-9E-5
0.33	-1.4E-4
0.34	-1E-4
0.35	1E-5
0.36	1.4E-4
0.37	2.4E-4
0.38	2.6E-4
0.39	1.9E-4
0.4	3E-5
0.41	-1.5E-4
0.42	-3E-4
0.43	-3.4E-4
0.44	-2.8E-4
0.45	-1.3E-4
0.46	6E-5
0.47	2.1E-4
0.48	2.7E-4
0.49	2E-4
0.5	2E-5
0.51	-2.1E-4
0.52	-4E-4
0.53	-4.9E-4
0.54	-4.3E-4
0.55	-2.6E-4
0.56	-4E-5
0.57	1.4E-4
0.58	2.2E-4
0.59	1.7E-4
0.6	2E-5
0.61	-1.9E-4
0.62	-3.8E-4
0.63	-4.9E-4
0.64	-4.9E-4
0.65	-3.9E-4
0.66	-2.1E-4
0.67	-3E-5
0.68	9E-5
0.69	1.3E-4
0.7	9E-5
0.71	-1E-5
0.72	-1.3E-4
0.73	-2.2E-4
0.74	-3E-4
0.75	-3.8E-4
0.76	-5.3E-4
0.77	-8.1E-4
0.78	-0.0012
0.79	-0.00161
0.8	-0.00187
0.81	-0.00188
0.82	-0.00162
0.83	-0.00118
0.84	-7.2E-4
0.85	-3E-4
0.86	3E-5
0.87	3E-4
0.88	4.6E-4
0.89	4.8E-4
0.9	3.5E-4
0.91	1.2E-4
0.92	-1E-4
0.93	-2.1E-4
0.94	-2.2E-4
0.95	-1.8E-4
0.96	-1.6E-4
0.97	-1.9E-4
0.98	-2.9E-4
0.99	-4.6E-4
1	-7.1E-4
1.01	-9.7E-4
1.02	-0.00114
1.03	-0.00114
1.04	-9.7E-4
1.05	-7.1E-4
